|text|rt_count|tweet_datetime|tokens|char_count|word_count|urls|url_count|hashtags|hashtag_count|mentions|mentions_count
0|I'm so sorry, no not really|0|Mon Feb 15 20:41:16 +0000 2016|[I'm, so, sorry, no, not, really]|27|6|[]|1|[]|1|[]|1
1|@EnglandRugby: #RedRoseChat Q4. Still to come: Ireland (H), Wales (H) &amp; France (A). Any players that you   re particularly wary of? https:   |4|Mon Feb 15 20:41:16 +0000 2016|[@EnglandRugby, #RedRoseChat, Q4, Still, to, come, Ireland, (H), Wales, (H), &amp;, France, (A), Any, players, that, you, re, particularly, wary, of?, https]|145|22|[https]|1|[#RedRoseChat]|1|[#RedRoseChat]|1
2|@JasparUSA: I think @Joe_Sugg forgot it was #SUGGSUNDAY, he didn't even tweet it     |2|Mon Feb 15 20:41:16 +0000 2016|[@JasparUSA, I, think, @Joe_Sugg, forgot, it, was, #SUGGSUNDAY, he, didn't, even, tweet, it]|85|13|[]|1|[#SUGGSUNDAY]|1|[#SUGGSUNDAY]|1
3|"@Italians4Trump: DONALD J. TRUMP FOR PRESIDENT, INC. OPED - The Culture of Life | Donald J Trump for President https://t.co/uXtzf5gXfd"|2|Mon Feb 15 20:41:16 +0000 2016|"[@Italians4Trump, DONALD, J, TRUMP, FOR, PRESIDENT, INC, OPED, -, The, Culture, of, Life, |, Donald, J, Trump, for, President, https://t.co/uXtzf5gXfd]"|134|20|[https://t.co/uXtzf5gXfd]|1|[]|1|[]|1
4|MAN I CANT LIE IM STILL WEAK BUT I GOTTA CHILL        |0|Mon Feb 15 20:41:16 +0000 2016|[MAN, I, CANT, LIE, IM, STILL, WEAK, BUT, I, GOTTA, CHILL]|54|11|[]|1|[]|1|[]|1
5|"I'm Not Crazy..I'm Allergic! #5Stars ""meticulously researched(&amp; extremely thought provoking) study"" https://t.co/6fTlWYh4v8 #indiewritersupp"|0|Mon Feb 15 20:42:39 +0000 2016|[I'm, Not, Crazy..I'm, Allergic, #5Stars, meticulously, researched(&amp;, extremely, thought, provoking), study, https://t.co/6fTlWYh4v8, #indiewritersupp]|144|13|[https://t.co/6fTlWYh4v8]|1|[#5Stars, #indiewritersupp]|1|[#5Stars, #indiewritersupp]|1
6|"@AldenBAE_07: Close your eyes,
fall in love,
stay there :)

 #ALDUB7thMonthsary https://t.co/F7Z3s8rH5H"|1|Mon Feb 15 20:42:39 +0000 2016|"[@AldenBAE_07, Close, your, eyes, 
fall, in, love, 
stay, there, :)

, #ALDUB7thMonthsary, https://t.co/F7Z3s8rH5H]"|103|12|[https://t.co/F7Z3s8rH5H]|1|[#ALDUB7thMonthsary]|1|[#ALDUB7thMonthsary]|1
7|@eleeeyeeleh I'm a 'they're waiting' type|0|Mon Feb 15 20:42:39 +0000 2016|[@eleeeyeeleh, I'm, a, 'they're, waiting', type]|41|6|[]|1|[]|1|[]|1
8|@Ken_DeMange Just heard that too, beat me to it. Not attacking down the right might be having an impact on that.|0|Mon Feb 15 20:42:39 +0000 2016|[@Ken_DeMange, Just, heard, that, too, beat, me, to, it, Not, attacking, down, the, right, might, be, having, an, impact, on, that.]|112|21|[]|1|[]|1|[]|1
9|@JohnEastCoast: @Kleptocratia @BryanJFischer @Wildharv @FDRLST Dems passed resolution in 1960 against election year SCOTUS appts and the   |2|Mon Feb 15 20:42:39 +0000 2016|[@JohnEastCoast, @Kleptocratia, @BryanJFischer, @Wildharv, @FDRLST, Dems, passed, resolution, in, 1960, against, election, year, SCOTUS, appts, and, the]|139|17|[]|1|[]|1|[]|1
10|Is that a elephant fighting a deer              https://t.co/ffimY7np1l|0|Mon Feb 15 20:42:39 +0000 2016|[Is, that, a, elephant, fighting, a, deer, https://t.co/ffimY7np1l]|71|8|[https://t.co/ffimY7np1l]|1|[]|1|[]|1
11|@Bre2xs_: I really need to lose some weight before the summer|2|Mon Feb 15 20:42:39 +0000 2016|[@Bre2xs_, I, really, need, to, lose, some, weight, before, the, summer]|61|11|[]|1|[]|1|[]|1
12|really want a Mac|0|Mon Feb 15 20:42:39 +0000 2016|[really, want, a, Mac]|17|4|[]|1|[]|1|[]|1
13|when everything is on the right places @TheMattEspinosa https://t.co/O2jf7TZssT|0|Mon Feb 15 20:42:39 +0000 2016|[when, everything, is, on, the, right, places, @TheMattEspinosa, https://t.co/O2jf7TZssT]|79|9|[https://t.co/O2jf7TZssT]|1|[]|1|[]|1
14|at times https://t.co/jktgWD7nwP|0|Mon Feb 15 20:44:33 +0000 2016|[at, times, https://t.co/jktgWD7nwP]|32|3|[https://t.co/jktgWD7nwP]|1|[]|1|[]|1
15|@krellard: I don't have time for incompetent, white trash little girls. kiss my ass and my Michael &lt;3|1|Mon Feb 15 20:44:33 +0000 2016|[@krellard, I, don't, have, time, for, incompetent, white, trash, little, girls, kiss, my, ass, and, my, Michael, &lt;3]|104|18|[]|1|[]|1|[]|1
16|Someone bring me to the mall or hang w me :)|0|Mon Feb 15 20:44:33 +0000 2016|[Someone, bring, me, to, the, mall, or, hang, w, me, :)]|44|11|[]|1|[]|1|[]|1
17|I love you more, sweetie.          https://t.co/vTrwXayw5c|0|Mon Feb 15 20:44:33 +0000 2016|[I, love, you, more, sweetie, https://t.co/vTrwXayw5c]|58|6|[https://t.co/vTrwXayw5c]|1|[]|1|[]|1
18|I'm at Qurtuba in Kuwait https://t.co/ViiID8p89j|0|Mon Feb 15 20:44:33 +0000 2016|[I'm, at, Qurtuba, in, Kuwait, https://t.co/ViiID8p89j]|48|6|[https://t.co/ViiID8p89j]|1|[]|1|[]|1
19|Let's Try - The Shield: The Game (Part 2) https://t.co/6BtwgM4dKm via @YouTube|0|Mon Feb 15 20:44:33 +0000 2016|[Let's, Try, -, The, Shield, The, Game, (Part, 2), https://t.co/6BtwgM4dKm, via, @YouTube]|78|12|[https://t.co/6BtwgM4dKm]|1|[]|1|[]|1
20|@BlueMarlinUAE: What a night! Were you there? FIRE FESTIVAL WITH @santemusic AND @blond_ish @BlueMarlinUAE #DubaiParty #MyDubai https://   |2|Mon Feb 15 20:44:33 +0000 2016|[@BlueMarlinUAE, What, a, night, Were, you, there?, FIRE, FESTIVAL, WITH, @santemusic, AND, @blond_ish, @BlueMarlinUAE, #DubaiParty, #MyDubai, https://]|139|17|[https://]|1|[#DubaiParty, #MyDubai]|1|[#DubaiParty, #MyDubai]|1
21|@iKnoYouWatching: It really do though.                    https://t.co/2sg1GoHl3Q|1|Mon Feb 15 20:44:33 +0000 2016|[@iKnoYouWatching, It, really, do, though, https://t.co/2sg1GoHl3Q]|81|6|[https://t.co/2sg1GoHl3Q]|1|[]|1|[]|1
22|Would you lie about how many sexual partners you've had?|0|Mon Feb 15 20:44:33 +0000 2016|[Would, you, lie, about, how, many, sexual, partners, you've, had?]|56|10|[]|1|[]|1|[]|1
23|@RealMikeWelch @miss_linseylynn That's why Coldstone is the best date spot am I right?|0|Mon Feb 15 20:44:33 +0000 2016|[@RealMikeWelch, @miss_linseylynn, That's, why, Coldstone, is, the, best, date, spot, am, I, right?]|86|13|[]|1|[]|1|[]|1
24|one person followed me and one person unfollowed me // automatically checked by https://t.co/kDATleTJLp|0|Mon Feb 15 20:44:33 +0000 2016|[one, person, followed, me, and, one, person, unfollowed, me, //, automatically, checked, by, https://t.co/kDATleTJLp]|103|14|[https://t.co/kDATleTJLp]|1|[]|1|[]|1
25|"@CuratedATL: Shop our Presidents' Day sale | 20 items are now 20% OFF online | Use code ""2020"" at checkout,    https://t.co/9sKIlnxqh8"|1|Mon Feb 15 20:44:33 +0000 2016|"[@CuratedATL, Shop, our, Presidents', Day, sale, |, 20, items, are, now, 20%, OFF, online, |, Use, code, 2020, at, checkout, https://t.co/9sKIlnxqh8]"|134|21|[https://t.co/9sKIlnxqh8]|1|[]|1|[]|1
26|@whenthewolves love u too|0|Mon Feb 15 20:44:33 +0000 2016|[@whenthewolves, love, u, too]|25|4|[]|1|[]|1|[]|1
27|@zakearaaaa: don't let Instagram, twitter, facebook, periscope, bebo, myspace, OR NO OTHER SOCIAL MEDIA SIGHT BE THE REASON YOU GET YOUR   |6|Mon Feb 15 20:44:33 +0000 2016|[@zakearaaaa, don't, let, Instagram, twitter, facebook, periscope, bebo, myspace, OR, NO, OTHER, SOCIAL, MEDIA, SIGHT, BE, THE, REASON, YOU, GET, YOUR]|139|21|[]|1|[]|1|[]|1
28|EDEN WAKAME SEAWEED 2.1 OZ Popular for Its Essential Role as the Lovely Green in Miso Soup. Grown Off the Ise Coast https://t.co/IS7BpchG7V|0|Mon Feb 15 20:44:33 +0000 2016|[EDEN, WAKAME, SEAWEED, 2.1, OZ, Popular, for, Its, Essential, Role, as, the, Lovely, Green, in, Miso, Soup, Grown, Off, the, Ise, Coast, https://t.co/IS7BpchG7V]|139|23|[https://t.co/IS7BpchG7V]|1|[]|1|[]|1
29|"@RonPaulInstitut: Presidents Day 2016: Who Was Best? Who Was Worst?
https://t.co/eogbFSk6e0"|2|Mon Feb 15 20:44:33 +0000 2016|"[@RonPaulInstitut, Presidents, Day, 2016, Who, Was, Best?, Who, Was, Worst?
https://t.co/eogbFSk6e0]"|91|10|[]|1|[]|1|[]|1
30|@ScotsFyre: They can't stop him from nominating. And the Dems can thank Reid for the 60 vote threshold @catfanfl @gabrielmalor @jonfavs|7|Mon Feb 15 20:44:33 +0000 2016|[@ScotsFyre, They, can't, stop, him, from, nominating, And, the, Dems, can, thank, Reid, for, the, 60, vote, threshold, @catfanfl, @gabrielmalor, @jonfavs]|135|21|[]|1|[]|1|[]|1
31|PLEASE SIGN and RETURN Self Inking Rubber Stamp Red Ink 42A1539WEB-R Ensure Efficient Communication and Provide https://t.co/KarxbrLaAe|0|Mon Feb 15 20:44:33 +0000 2016|[PLEASE, SIGN, and, RETURN, Self, Inking, Rubber, Stamp, Red, Ink, 42A1539WEB-R, Ensure, Efficient, Communication, and, Provide, https://t.co/KarxbrLaAe]|135|17|[https://t.co/KarxbrLaAe]|1|[]|1|[]|1
32|@JustaFan18: @rcarr57 @AOL Interesting to want someone who knows the real #constitution &amp; #laws of #America &amp; #SCOTUS #job.|1|Mon Feb 15 20:44:33 +0000 2016|[@JustaFan18, @rcarr57, @AOL, Interesting, to, want, someone, who, knows, the, real, #constitution, &amp;, #laws, of, #America, &amp;, #SCOTUS, #job.]|131|19|[]|1|[#constitution, #laws, #America, #SCOTUS, #job.]|1|[#constitution, #laws, #America, #SCOTUS, #job.]|1
33|@ZekeJMiller @stephenfhayes This man(Trump). Hasn't got a clue!|0|Mon Feb 15 20:44:33 +0000 2016|[@ZekeJMiller, @stephenfhayes, This, man(Trump), Hasn't, got, a, clue]|63|8|[]|1|[]|1|[]|1
34|@Cristalluceero: I'm so happy for Kehlani              |1|Mon Feb 15 20:44:33 +0000 2016|[@Cristalluceero, I'm, so, happy, for, Kehlani]|55|6|[]|1|[]|1|[]|1
35|"@samsBellabob @Daisy_dor 
Hahahhaha but I like it"|0|Mon Feb 15 20:44:33 +0000 2016|"[@samsBellabob, @Daisy_dor, 
Hahahhaha, but, I, like, it]"|49|7|[]|1|[]|1|[]|1
